DATE,WIND,IND,RAIN,IND.1,T.MAX,IND.2,T.MIN,T.MIN.G
6/4/1961,6.21,0,0,0,20.8,0,11.3,10.5
6/5/1961,3.42,0,9.4,2,17,0,12.7,11.7
6/6/1961,4.21,0,0.3,0,16.7,0,11.5,10.6
6/7/1961,8.17,0,4.8,0,17.7,0,8.8,6.6
6/8/1961,9.54,0,0.7,0,15.5,0,7.6,6.1
6/9/1961,8.29,0,1.8,0,17.2,0,6.1,4.4
6/10/1961,9.71,0,1.6,0,15.7,0,10.4,9.6
6/11/1961,6.25,0,3.6,0,16.6,0,9,8.4
6/12/1961,9.17,0,1,0,13.6,0,10.5,9
6/13/1961,4.67,0,0.2,0,18,0,6.2,3.2
6/14/1961,5.66,0,1.2,0,18.8,0,6.4,2.2
6/15/1961,8.25,0,0.1,0,18.8,0,13.1,10.4
6/16/1961,10.54,0,0.2,0,19.6,0,7.7,4.7
6/17/1961,12.96,0,0.8,0,20,0,15,14.4
6/18/1961,13.7,0,0,0,17.6,0,9.5,7.2
6/19/1961,10.37,0,0,0,17.3,0,8.7,6.4
6/20/1961,7.92,0,0,0,16.6,0,8.7,8.7
6/21/1961,10.54,0,1.6,0,19.4,0,7.2,2.1
6/22/1961,13.29,0,0,0,18.5,0,11.6,11.5
6/23/1961,14.21,0,0,0,22.4,0,11.6,9.4
6/24/1961,14.88,0,0,0,23,0,11.5,6.7
6/25/1961,11.87,0,2.8,0,21.6,0,12.1,11.4
6/26/1961,8.38,0,0,0,15.2,0,11.6,11.5
6/27/1961,10.54,0,0,0,16.7,0,6.1,3.5
6/28/1961,8.79,0,0,0,19.5,0,8.1,2.4
6/29/1961,8.33,0,0,0,22.2,0,11.1,8.5
6/30/1961,4.92,0,0,0,23.4,0,11.6,9
7/1/1961,6.71,0,0,0,19.4,0,15.5,14.4
7/2/1961,5.83,0,0,0,20.1,0,12.1,11.5
7/3/1961,15.75,0,0.6,0,18.3,0,9.5,7.2
7/4/1961,14.92,0,0,0,18.2,0,10.6,9.8
7/5/1961,10.08,0,0,0,20,0,7.1,4.5
7/6/1961,7.08,0,0.1,0,20.2,0,8,4.4
7/7/1961,14.54,0,0.2,0,21.2,0,13.6,12.2
7/8/1961,14.04,0,0,0,18.3,0,14.4,13.7
7/9/1961,9.46,0,6.4,0,18.4,0,12.3,11.2
7/10/1961,2.67,0,6.6,0,17.3,0,12.2,11.7
7/11/1961,7.41,0,5.4,0,17.4,0,12.8,12.8
7/12/1961,9.08,0,0.4,0,19,0,13.3,10.1
7/13/1961,16.83,0,21.4,0,13.8,0,9,8.4
7/14/1961,11.83,0,0.1,0,17.4,0,8.3,8.6
7/15/1961,10.25,0,2.6,0,18.8,0,7.6,5.8
7/16/1961,13.13,0,0.1,0,15.6,0,11,10.1
7/17/1961,7.08,0,0,0,19.7,0,10.5,8.8
7/18/1961,4.96,0,0,0,19.3,0,10.5,6.8
7/19/1961,3.5,0,0,0,18.7,0,7.6,3.4
7/20/1961,3.04,0,0,0,18.3,0,12.1,11.2
7/21/1961,2.21,0,0,0,16,0,11.7,7.7
7/22/1961,4.75,0,0,0,17.1,0,8.1,8.8
7/23/1961,2.21,0,0,0,17.3,0,10,7.7
7/24/1961,3.58,0,0,0,18.3,0,11.1,8.6
7/25/1961,12.29,0,1.6,0,20.6,0,11.6,9.2
7/26/1961,18.79,0,0,0,17.5,0,12.7,11.3
7/27/1961,7.87,0,2.6,0,16.7,0,10.2,11.2
7/28/1961,9.67,0,0,0,17.8,0,7.7,5.5
7/29/1961,5.79,0,0,0,18.2,0,11.2,10.5
7/30/1961,6.04,0,0,0,21.4,0,8.2,5.3
7/31/1961,3.75,0,0,0,17.7,0,11.7,10.7
8/1/1961,4.21,0,0.7,0,17.1,0,7.3,3.7
8/2/1961,8.87,0,0.9,0,17.8,0,10.4,9
8/3/1961,11.92,0,5.1,0,19.3,0,9.1,6
8/4/1961,13.54,0,0,0,20.6,0,13.4,13.1
8/5/1961,10.54,0,0,0,19.5,0,7.6,3.3
8/6/1961,7.87,0,0.1,0,18.3,0,13.1,8.4
8/7/1961,3.88,0,15,2,14.4,0,6.1,1.6
8/8/1961,10.63,0,1.1,0,19,0,10,9.8
8/9/1961,11.25,0,1.9,0,18.3,0,10.4,8.4
8/10/1961,4.67,0,1.2,0,16.6,0,9,6.2
8/11/1961,6.83,0,0.2,0,16.6,0,8.8,6.2
8/12/1961,6.83,0,0.8,0,19.1,0,5.6,2.2
8/13/1961,10.92,0,0.1,0,18.4,0,11.2,10.2
8/14/1961,15.09,0,0.4,0,18.8,0,11.6,9.7
8/15/1961,9.42,0,0.3,0,18.3,0,12.2,12
8/16/1961,12.96,0,0,0,19,0,11.1,10.7
8/17/1961,10.21,0,0.4,0,21.7,0,11.2,9.3
8/18/1961,19.04,0,0.8,0,17,0,12.5,13.3
8/19/1961,13.21,0,0.3,0,15.6,0,12,11.5
8/20/1961,12.58,0,9.5,0,21,0,11.3,10.1
8/21/1961,19,0,0.2,0,17.3,0,13,12.2
8/22/1961,12.08,0,0,0,17.2,0,10.5,10.5
8/23/1961,8.17,0,5,0,21.6,0,11.6,10.7
8/24/1961,5.66,0,0,0,18,0,6.4,5
8/25/1961,10.92,0,1.8,0,19.4,0,12.8,12.8
8/26/1961,9.79,0,1.1,0,18.2,0,8.6,5.2
8/27/1961,12.12,0,0,0,21.7,0,12.1,9.5
8/28/1961,9.08,0,0,0,24.6,0,12.6,9.4
8/29/1961,14.12,0,0,0,22.7,0,17.8,14.8
8/30/1961,4.58,0,0,0,20,0,9.4,4.8
8/31/1961,2.92,0,0.1,0,21.1,0,5,4.4
9/1/1961,4.63,0,0.1,0,21,0,11.1,1.3
9/2/1961,3.83,0,0.1,0,20.5,0,12.3,10.4
9/3/1961,5.88,0,0,0,16.1,0,13.7,13.7
9/4/1961,1.25,0,0,0,18.3,0,14.4,14.4
9/5/1961,9.38,0,0.2,0,15.6,0,10.6,8.4
9/6/1961,14.09,0,3.4,0,16.6,0,9.6,8.1
9/7/1961,7.87,0,0,0,15.8,0,6.7,5
9/8/1961,3.17,0,0,0,17.7,0,6.6,3.2
9/9/1961,6.92,0,7.9,0,20.2,0,5.6,2.3
9/10/1961,4.83,0,0,0,21.4,0,13.4,10.5
9/11/1961,8.63,0,2.8,0,18.2,0,10.5,6.4
9/12/1961,11.08,0,0.5,0,19.5,0,10,6.8
9/13/1961,11.75,0,0.8,0,19.1,0,12.6,10.7
9/14/1961,12.75,0,1,0,19.5,0,10.4,7.8
9/15/1961,13,0,0.5,0,19.4,0,13.1,12.4
9/16/1961,20.79,0,0,2,19.5,0,12.7,13.3
9/17/1961,7.87,0,0,0,20,0,10.5,7.2
9/18/1961,4.17,0,0.1,0,18.4,0,5.1,1.3
9/19/1961,8.17,0,9,0,21.6,0,11.6,8.1
9/20/1961,4.79,0,9.8,0,17.6,0,11.1,9.4
9/21/1961,6.46,0,0,0,18.3,0,13.2,12.6
9/22/1961,4.12,0,0.4,0,20.7,0,4.2,0.2
9/23/1961,6.08,0,2.8,0,20.3,0,13.3,12.1
9/24/1961,5.91,0,0,0,16.7,0,5.7,5
9/25/1961,8.92,0,0,0,15.5,0,4.6,0.5
9/26/1961,12.46,0,1.2,0,16.6,0,12.2,9.8
9/27/1961,8.08,0,32,0,14.5,0,8.1,4.5
9/28/1961,9.13,0,6.1,0,14.4,0,10.5,10
9/29/1961,9.21,0,1.2,0,16.8,0,8,2.2
9/30/1961,10.96,0,0,0,14.8,0,8.5,4.6
10/1/1961,5.83,0,0.5,0,16,0,10.3,7.6
10/2/1961,8.71,0,3.4,0,17.7,0,10.4,8.4
10/3/1961,4.04,0,7.3,0,15.5,0,13.8,10.6
10/4/1961,3.5,0,4,0,12.7,0,6.6,5.1
10/5/1961,5.63,0,1.8,0,14.7,0,8.8,9.7
10/6/1961,12.96,0,3,0,15,0,11,9.5
10/7/1961,6.87,0,0.6,0,14.6,0,4.3,2.7
10/8/1961,10.17,0,1.6,0,15.1,0,6.4,2.7
10/9/1961,9.04,0,1.7,0,17.5,0,7.8,2.7
10/10/1961,11.75,0,0.9,0,16.6,0,10.4,8.3
10/11/1961,12.71,0,0.1,0,14.3,0,9,6.8
10/12/1961,5.58,0,0,0,15.5,0,2,-1.5
10/13/1961,9.92,0,0,0,17.8,0,5.7,2.6
10/14/1961,2.96,0,0,0,15.6,0,8.8,0
10/15/1961,9,0,0,0,13.8,0,2.5,2.3
10/16/1961,14.58,0,2.2,0,12.2,0,6.5,4.1
10/17/1961,22.17,0,0,0,12.6,0,8.8,7.3
10/18/1961,21.84,0,0,0,12.3,0,6,4.5
10/19/1961,13.21,0,1.1,0,9.6,0,5.7,3.5
10/20/1961,12.08,0,0,0,10.7,0,2.5,-0.2
10/21/1961,7.5,0,0.3,0,13.7,0,5,3.8
10/22/1961,17.58,0,16.7,0,12.6,0,8.4,4.8
10/23/1961,16.21,0,6.6,0,14.5,0,6,4.8
10/24/1961,17.96,0,5.6,0,11.5,0,8.2,6.6
10/25/1961,18.34,0,0.2,0,11.1,0,3.2,1.7
10/26/1961,9.79,0,0,0,13.3,0,7.4,5.2
10/27/1961,7.79,0,1.6,0,11.6,0,4.5,-0.4
10/28/1961,9.75,0,0,0,11.7,0,3.7,1
10/29/1961,9.42,0,0,0,10.4,0,1.5,-3.6
10/30/1961,14.88,0,0,0,12.5,0,5,-1.1
10/31/1961,15.25,0,0.5,0,15.4,0,8.3,8.4
11/1/1961,13.08,0,0.3,0,15.4,0,7.7,3.1
11/2/1961,15.83,0,0.5,0,11.7,0,8,5.4
11/3/1961,11.21,0,0,0,8.2,0,2.2,-1.2
11/4/1961,8.5,0,0,0,10.6,0,1.3,-2.4
11/5/1961,10.79,0,0.4,0,13,2,3,?
11/6/1961,8.21,0,0,2,11.3,0,6.6,4.1
11/7/1961,9.29,0,4.1,0,13.2,0,6.6,5.6
11/8/1961,6.58,0,0,0,10,0,2.3,-1.6
11/9/1961,8.21,0,0,0,9.5,1,-1,-6.3
11/10/1961,7.71,0,0.3,0,6.1,1,-1.6,-6.6
11/11/1961,12.12,0,0,0,8.6,1,-1.6,-5.5
11/12/1961,13.04,0,0,0,10.5,0,0.8,-4.4
11/13/1961,21.87,0,0,0,10.5,0,3.2,1.1
11/14/1961,15.71,0,0,0,9.4,0,8,5.4
11/15/1961,6,0,0,0,8.7,0,6.7,5.8
11/16/1961,2.29,0,0.5,0,8.3,0,6.1,5
11/17/1961,3.13,0,0.4,0,9.6,0,6,5.5
11/18/1961,9.29,0,0,0,9.6,0,6.1,6.3
11/19/1961,9.33,0,0,0,9.4,0,8.4,7.2
11/20/1961,13.04,0,0,0,9.5,0,8.4,7.2
11/21/1961,7,0,17.8,0,10.2,0,1.1,-2.7
11/22/1961,9.17,0,0.7,0,12.3,0,1.6,?
11/23/1961,15.41,0,0,0,8.7,0,2.4,-0.5
11/24/1961,16.17,0,0.9,0,10,0,3.3,?
11/25/1961,11.83,0,0,0,7.7,0,2.8,-0.2
11/26/1961,6.34,0,8.6,0,8.1,1,-0.4,-5.4
11/27/1961,5.83,0,1.2,0,6.8,2,0,?
11/28/1961,12.79,0,0.9,0,8.3,0,1.7,-1.7
11/29/1961,15.29,0,12.5,0,12.6,0,3.5,4.2
11/30/1961,16.5,0,5.8,0,13.1,0,6.6,6.7
12/1/1961,7.25,0,0,0,5.5,0,4.6,3.3
12/2/1961,12.21,0,3,0,7.2,0,0.3,-2.6
12/3/1961,7.67,0,3.2,0,7.4,1,-3.2,-7.8
12/4/1961,13.79,0,8.4,0,13.1,1,-2.2,?
12/5/1961,17.83,0,0.1,2,5,0,0.7,-1.4
12/6/1961,12.62,0,0,0,3.3,1,-0.4,-3.1
12/7/1961,8.87,0,4.5,0,5.5,1,-5.4,-10.4
12/8/1961,19.83,0,4.2,0,11.5,1,-5,?
12/9/1961,10.04,0,3.4,0,13.3,0,5.1,0.1
12/10/1961,18.84,0,4.6,0,14,0,5.1,0.4
12/11/1961,25.62,0,0.4,0,11.8,0,9.5,8.3
12/12/1961,16.83,0,3.3,0,13.4,0,9.1,7.5
12/13/1961,16.66,0,0.2,2,13.5,0,7.8,2.5
12/14/1961,9.38,0,0.1,0,12.7,1,-1.1,-5.5
12/15/1961,10.71,0,0,0,13.2,1,-0.5,?
12/16/1961,6.92,0,0,0,11.2,0,7.8,3.3
12/17/1961,9.54,0,0,0,9,0,4.8,1.6
12/18/1961,4.79,0,0,0,4.4,1,-2.7,-8.3
12/19/1961,3.54,0,0,0,2.1,1,-5,-8.5
12/20/1961,3.63,0,0,0,6.1,1,-5.5,-9
12/21/1961,4.33,0,0,0,6.2,1,-5,-6.7
12/22/1961,13.59,0,0,0,6.8,1,-1.6,?
12/23/1961,18.12,0,0,2,5,0,3.8,3.4
12/24/1961,8.5,0,0,0,2.6,1,-0.5,-5.1
12/25/1961,11.92,0,0,2,5,1,-2.7,-10.7
12/26/1961,17.12,0,0,0,5,0,0.7,-0.5
12/27/1961,2.92,0,0,0,3.3,1,-3.2,-9.4
12/28/1961,8.96,0,0,0,3.8,1,-5.2,-10
12/29/1961,15,0,0,2,3,1,-5,-8.6
12/30/1961,17.29,0,0,0,1.7,0,0.1,0
12/31/1961,10.04,0,1.3,0,1.5,1,-11,-13.4
1/1/1962,10.41,0,0,0,1.2,1,-10.7,?
1/2/1962,8.46,0,0,1,-0.1,1,-7.8,-10.5
1/3/1962,4.58,0,0,0,1.8,1,-8.1,-8.8
1/4/1962,5.5,0,0,0,6,1,-3.8,?
1/5/1962,15.29,0,1.8,0,9.1,1,-2.3,-7.1
1/6/1962,8.46,0,2.1,0,11.6,0,4.6,2.4
1/7/1962,14.29,0,0,0,8.8,0,4.5,0.6
1/8/1962,17.71,0,6.8,0,10.8,0,6.2,3.3
1/9/1962,15.29,0,0,0,6.2,0,3.1,0.5
1/10/1962,14.29,0,4.2,0,12.5,0,1.7,-1.1
1/11/1962,25.96,0,0.7,0,7.6,0,2.4,0
1/12/1962,23.54,0,0.1,0,7.6,0,3.2,0.7
1/13/1962,19.7,0,0,0,5.5,0,0,-1.2
1/14/1962,12.42,0,0.1,0,8.6,0,0.5,-2.6
1/15/1962,20.38,0,7.8,0,11.5,0,0.8,-0.3
1/16/1962,19.75,0,2.7,0,8.1,0,2.6,-0.5
1/17/1962,22.79,0,1,0,8.6,0,2.8,3.8
1/18/1962,12.46,0,0,0,8.3,0,1.1,-2.7
1/19/1962,16.08,0,1.1,0,9.8,0,2.2,1.6
1/20/1962,10.29,0,1.1,0,11.1,0,4.2,1.8
1/21/1962,17.29,0,2.4,0,8.8,0,5.5,3.8
1/22/1962,23.25,0,0,0,6.2,0,1.8,-0.5
1/23/1962,12.71,0,2.6,0,11.2,0,2.3,-0.4
1/24/1962,17.25,0,1,0,11.7,0,3.3,1.1
1/25/1962,18.29,0,0,0,11.3,0,7.2,5.4
1/26/1962,7.41,0,0.9,0,8.7,0,7,4.7
1/27/1962,5.17,0,0,0,7.7,0,4.6,1.8
1/28/1962,3.63,0,0,0,8.2,0,5.6,5
1/29/1962,2.17,0,0,0,10.2,0,5.5,4.5
1/30/1962,13.33,0,0.3,0,11.1,0,1.1,-2.7
1/31/1962,22.42,0,2,0,12.2,0,6.1,?
2/1/1962,15.71,0,0.3,0,7.4,0,1.6,-0.5
2/2/1962,13.17,0,0.8,0,10,0,2.1,1.1
2/3/1962,15.96,0,0,0,10.7,0,3.6,-1.7
2/4/1962,18.88,0,4,0,10.2,0,3.8,1.1
2/5/1962,15.75,0,0,0,10.7,0,3.3,0.4
2/6/1962,18.75,0,2.6,0,11.6,0,3.8,1.8
2/7/1962,25,0,1.1,0,8.5,0,5.5,3.8
2/8/1962,8.21,0,0.1,2,10,0,1.7,-1.4
2/9/1962,12.08,0,0,0,11.2,2,1.7,?
2/10/1962,14.96,0,1.1,0,10.5,0,6.8,6
2/11/1962,24.41,0,0.4,0,12.4,0,1.7,-2.2
2/12/1962,29.54,0,0.7,2,12.5,0,4.4,?
2/13/1962,15.79,0,2.7,0,6.1,0,2,-0.1
2/14/1962,11.71,0,0,0,6.8,1,-1.1,-4
2/15/1962,23.45,0,2.9,0,10.7,0,0.1,-5
2/16/1962,28.84,0,0,0,8.8,0,6.3,5.5
2/17/1962,14.12,0,0,0,10.5,0,3.1,2.4
2/18/1962,8.29,0,0,0,9.8,0,3.8,-0.8
2/19/1962,7.92,0,0,0,10.8,0,6.2,2.2
2/20/1962,1.46,0,0,0,10.6,0,4.8,2.7
2/21/1962,7.04,0,0,0,9.5,0,6.1,5.4
2/22/1962,15.29,0,0,0,6.6,0,2.7,-2.3
2/23/1962,20.21,0,0,0,4,0,3.2,-0.5
2/24/1962,18.12,0,0,0,5.7,0,2.2,1.1
2/25/1962,22.63,0,0.4,0,4.6,0,2.3,1.7
2/26/1962,25.62,0,5.4,0,2.7,1,-1,-1.5
2/27/1962,26.87,0,0,0,3.5,1,-1,-0.8
2/28/1962,13.88,0,5.5,0,3.6,1,-0.5,-1.1
3/1/1962,7.96,0,1.1,0,3.5,0,0,-0.1
3/2/1962,9.59,0,0.5,0,5.5,0,0.1,-1.6
3/3/1962,6.71,0,5,0,1,1,-6,-5.4
3/4/1962,5.33,0,0,0,3.3,1,-7.4,-8.8
3/5/1962,5.79,0,0,0,6.1,1,-6.2,-12
3/6/1962,8,0,0,0,6.1,1,-6.6,-12
3/7/1962,29.58,0,2.7,0,5.5,1,-1.2,-4.7
3/8/1962,18,0,13.9,0,6.2,0,1.2,0.3
3/9/1962,9,0,6,0,9.2,0,2.7,1.6
3/10/1962,3.83,0,7.7,0,8.3,0,5.8,6.6
3/11/1962,10.92,0,2.7,2,5.5,0,4.5,4.5
3/12/1962,7.71,0,0,0,6.1,0,3.1,1.1
3/13/1962,6.83,0,0,0,5.7,1,-2.7,-7.2
3/14/1962,4,0,0,0,5.4,1,-3.8,-10
3/15/1962,16.54,0,3,0,5.6,0,0.2,-3.2
3/16/1962,12.58,0,0,0,6.1,0,1.7,1.8
3/17/1962,7.71,0,0,0,7.2,0,3.5,2.3
